Name,Users,search_provider,homepage,background,content_script,browser_action
Safest Way To Search, 2407 , True , True , True , False , True
Fairy Tail HD Wallpapers Anime New Tab Theme, 90 , True , False , True , False , True
Kanye West HD Wallpapers Hip Hop Music Theme, 3 , True , False , True , False , True
Ultimate Shopping, 2363 , True , False , True , False , False
Ferrari vs Toyota HD Wallpapers New Tab, 11 , True , False , False , False , True
Cakes and Candy HD Wallpapers New Tab Theme, 164 , True , False , True , False , True
New Tab Kawhi Leonard Background, 23 , True , True , True , False , True
Shovel Knight Game Wallpapers FullHD New Tab, 2 , True , False , True , False , True
Business Crowd - Secret Source, 2 , False , True , False , False , False
Kevin Durant Chrome Tab, 107 , True , True , True , False , True
Fanatics Search, 7 , True , False , True , False , False
Konohana Kitan HD Wallpapers , 14 , True , False , False , False , True
LightMe, 1 , True , False , True , False , False
Adventure Time HD Wallpapers Cartoon Theme, 17 , True , False , True , False , True
Fortnite Wallpapers & New Tab, 1500 , True , False , False , False , False
Search Manager, 3023982 , True , False , True , False , True
Private Home, 10729 , True , False , True , False , True
Beach and Ocean Wallpapers FullHD New Tab, 19 , True , False , True , False , True
Avengers Infinity War HD Wallpapers New Tab, 592 , True , False , True , False , True
Free Images Search, 13 , True , False , True , False , False
TabWow, 8 , True , True , True , False , True
New EA Sports UFC 3 Tab, 105 , True , True , True , False , True
uStart Extension, 1221 , True , True , True , False , True
TNA HD Wallpapers New Tab, 25 , True , False , False , False , True
Install Helper, 838 , True , False , True , False , True
Police and SWAT HD Wallpapers New Tab Theme, 91 , True , False , True , False , True
NBA All Stars Extension, 17996 , True , False , True , False , True
Searchall, 6238 , True , False , True , False , False
NewMovieTab, 81 , True , False , True , False , False
Blem.com, 1 , False , True , True , False , True
bblagkgcjkoihagekmhikjhingedeamg.json, 7 , True , False , False , False , False
bblkobibilafehanabnfpmaknnmohbah.json,  , True , False , True , False , True
Panda Wallpapers FullHD New Tab,  , True , False , True , False , True
UTILILAB SearchGUARDIAN, 5023 , True , True , True , False , True
6IX9INE HD Wallpapers Tekashi69 New Tab Theme, 1258 , True , False , True , False , True
Assassin's Creed Origins Chrome Tab, 58 , True , True , True , False , True
Free Search Waala, 127 , True , False , True , False , True
Wallpaper The Witcher 3 Wild Hunt Tab, 83 , True , True , True , False , True
Harley Quinn HD Wallpapers Suicide Squad Tab, 739 , True , False , True , False , True
Resident Evil New Page, 16 , True , True , True , False , True
Hunter X hunter Theme wallpaper, 48 , True , False , False , False , True
Bhad Bhabie HD Wallpapers Hip Hop Theme, 117 , True , False , True , False , True
Favourite Searches Newtab ROW, 15 , True , False , False , False , False
betterMusic Search, 75976 , True , False , True , False , True
Musix MultiSearch, 708 , True , False , True , False , True
NFL Super Bowl - Football Champions HD Theme, 71 , True , False , True , False , True
Search Free Government Forms, 19954 , True , False , True , False , False
Shawn Mendes HD Wallpapers New Tab Theme, 102 , True , False , True , False , True
New tab Stargate universe Wallpaper, 55 , True , False , False , False , True
Valerian Themes HD|PrivateSearsh, 39 , True , False , False , False , True
UTILILAB SearchGUARDIAN, 6631 , True , True , True , False , True
Guacamelee Game Wallpapers FullHD New Tab,  , True , False , True , False , True
Borderlands Chrome Tab, 68 , True , True , True , False , True
24by7 Search, 30 , True , True , True , False , True
Sunflowers Wallpapers FullHD New Tab, 34 , True , False , True , False , True
Roblox Wallpapers & New Tab, 41 , True , False , True , False , False
Shurbin, 1 , True , False , True , False , False
HD Nidhogg 2 New Page, 4 , True , True , True , False , True
Haikyuu Wallpapers FullHD New Tab, 81 , True , False , True , False , True
Formsmatrix, 8 , True , False , True , False , True
EXO New HD Tab, 133 , True , True , True , False , True
getGames Search, 4487 , True , False , True , False , True
RK Gorenje Home, 11 , False , True , False , False , False
Search By Cineklix, 177 , True , False , True , False , False
Movie Search, 12106 , True , False , True , False , True
Protect My Privacy, 4986 , True , False , True , False , True
HD Flinthook Background, 1 , True , True , True , False , True
OnlineGames Search, 5136 , True , False , True , False , True
goMusix MultiSearch, 8096 , True , False , True , False , True
GoSearchGo, 3 , True , False , True , False , True
SlickSEARCH, 14081 , True , False , True , False , True
Personal Finder, 1 , True , False , True , False , True
Avengers Wallpapers FullHD New Tab,  , True , False , True , False , True
browserGamer Search, 8513 , True , False , True , False , True
An cafe HD Wallpapers New Tab, 1 , True , False , False , False , True
New York City Wallpapers FullHD New Tab,  , True , False , True , False , True
