Importer stats
--------------
  71977 75.25% success
  23615 24.69% apps
     56 0.06% error

   5610 7.79% missing_permissions
   6916 9.61% missing_apis

  62788 87.23% easy_conversion

Missing APIs
------------
   1373 chrome.desktopCapture.chooseDesktopMedia
    553 chrome.permissions.request
    462 chrome.declarativeContent.onPageChanged
    457 chrome.declarativeContent.PageStateMatcher
    446 chrome.declarativeContent.ShowPageAction
    433 chrome.devtools.panels
    364 chrome.identity.getAuthToken
    361 chrome.proxy.settings
    346 chrome.management.setEnabled
    322 chrome.permissions.remove
    322 chrome.management.launchApp
    296 chrome.devtools.inspectedWindow
    292 chrome.permissions.contains
    292 chrome.desktopCapture.cancelChooseDesktopMedia
    245 chrome.management.uninstall
    220 chrome.management.onInstalled
    192 chrome.identity.launchWebAuthFlow
    189 chrome.runtime.error
    176 chrome.tts.speak
    170 chrome.identity.removeCachedAuthToken
    160 chrome.management.onUninstalled
    150 chrome.browsingData.remove
    149 chrome.management.onEnabled
    141 chrome.tabs.cr_tabs_TabClosed_listeners_added
    141 chrome.tabs.cr_tabs_TabCreated_listeners_added
    141 chrome.tabs.cr_tabs_TabSelectionChanged_listeners_added
    141 chrome.tabs.hasOwnProperty
    139 chrome.identity.getProfileUserInfo
    130 chrome.devtools.network
    126 chrome.management.onDisabled
    116 chrome.extension.onMessageExternal
    109 chrome.manifest.content_scripts
     94 chrome.downloads.onDeterminingFilename
     92 chrome.extension.onClicked
     88 chrome.googlecode.com
     83 chrome.proxy.onProxyError
     79 chrome.experimental.cookies
     77 chrome.identity.getRedirectURL
     77 chrome.tts.stop
     72 chrome.extension.callbacks
     72 chrome.extension.lastId
     71 chrome.storage.managed
     65 chrome.privacy.services
     61 chrome.privacy.network
     60 chrome.manifest.version
     60 chrome.pageCapture.saveAsMHTML
     58 chrome.permissions.onAdded
     56 chrome.tabCapture.capture
     55 chrome.tts.getVoices
     48 chrome.permissions.getAll
     47 chrome.permissions.onRemoved
     47 chrome.browsingData.removeCache
     44 chrome.d.ts
     43 chrome.debugger.attach
     43 chrome.storage.set
     42 chrome.debugger.sendCommand
     39 chrome.privacy.websites
     39 chrome.extension.connectNative
     37 chrome.debugger.onEvent
     37 chrome.debugger.detach
     35 chrome.identity.onSignInChanged
     35 chrome.tts.isSpeaking
     34 chrome.i18n._getL10nData
     34 chrome.i18n._setL10nData
     31 chrome.webRequest.MAX_HANDLER_BEHAVIOR_CHANGED_CALLS_PER_10_MINUTES
     28 chrome.contentSettings.javascript
     27 chrome.fontSettings.getFontList
     27 chrome.extension.onConnectExternal
