Importer stats
--------------
 120005 100.00% total
  75686 63.07% extensions
  30621 25.52% apps
  13643 11.37% themes
     55 0.05% error

   6093 8.05% missing_permissions
   7950 10.50% missing_apis
   4394 5.81% missing_manifests

  63108 83.38% easy_conversion
   1882 2.49% browser_namespace
  16968 22.42% no_apis

Chrome API coverage
-------------------
     99 99.00% top 100 API
    226 90.40% top 250 API

Top API usage
------------
 140     336 + chrome.windows.getLastFocused
 141     331 + chrome.webRequest.onBeforeRedirect.addListener
 142     331 + chrome.permissions.remove
 143     327 + chrome.tabs.move
 144     326 + chrome.management.getSelf
 145     323 + chrome.runtime.sendNativeMessage
 146     314 + chrome.browserAction.disable
 147     307 + chrome.runtime.onConnectExternal.addListener
 148     305 + chrome.i18n.getUILanguage
 149     304 + chrome.browserAction.enable
 150     290 + chrome.permissions.contains
 151     285 + chrome.webNavigation.onHistoryStateUpdated.addListener
 152     282 + chrome.runtime.error
 153     265 + chrome.extension.lastError.message
 154     246 + chrome.devtools.inspectedWindow.tabId
 155     245 + chrome.runtime.onInstalled
 156     242 + chrome.pageAction.setPopup
 157     240 + chrome.omnibox.onInputStarted.addListener
 158     238 + chrome.bookmarks.remove
 159     233 + chrome.downloads.onChanged.addListener
 160     232 - chrome.management.onInstalled.addListener
 161     230 + chrome.identity.launchWebAuthFlow
 162     228 + chrome.idle.onStateChanged.addListener
 163     221 + chrome.devtools.inspectedWindow.eval
 164     219 + chrome.extension.onRequestExternal.addListener
 165     218 + chrome.webRequest.onAuthRequired.addListener
 166     214 + browser.runtime.onMessage.addListener
 167     211 + chrome.runtime.onMessageExternal
 168     205 + chrome.runtime.getPlatformInfo
 169     205 - chrome.runtime.onSuspend.addListener
 170     204 + chrome.bookmarks.search
 171     201 + chrome.tabs.onAttached.addListener
 172     201 + chrome.tabs.onHighlighted.addListener
 173     197 + chrome.tabs.onUpdated
 174     197 + browser.runtime.sendMessage
 175     195 - chrome.proxy.settings.get
 176     195 + chrome.alarms.clearAll
 177     195 - chrome.tts.speak
 178     194 - chrome.notifications.update
 179     194 + chrome.alarms.get
 180     194 + chrome.tabs.onActiveChanged.addListener
 181     190 + chrome.management.uninstallSelf
 182     187 + chrome.webRequest.onBeforeSendHeaders.removeListener
 183     187 + chrome.webNavigation.onReferenceFragmentUpdated.addListener
 184     186 - chrome.runtime.requestUpdateCheck
 185     185 + browser.tabs.query
 186     179 + browser.storage.local.get
 187     174 + chrome.webNavigation.onErrorOccurred.addListener
 188     173 + browser.storage.local.set
 189     171 + chrome.browsingData.remove
 190     170 + chrome.tabs.onRemoved.removeListener
 191     167 + chrome.bookmarks.getChildren
 192     166 - chrome.proxy.settings.clear
 193     163 + chrome.runtime.onConnect
 194     160 + chrome.bookmarks.update
 195     160 + browser.tabs.getCurrent
 196     159 + chrome.idle.queryState
 197     156 + chrome.webNavigation.onCreatedNavigationTarget.addListener
 198     155 + chrome.downloads.search
 199     149 + chrome.bookmarks.onCreated.addListener
 200     148 + chrome.extension.inIncognitoContext
 201     145 + chrome.tabs.onDetached.addListener
 202     144 + chrome.webRequest.onResponseStarted.addListener
 203     142 + chrome.management.get
 204     142 + chrome.tabs.onMoved.addListener
 205     141 + chrome.history.getVisits
 206     140 + chrome.tabs.highlight
 207     139 + browser.extension.getURL
 208     137 + chrome.contextMenus.onClicked.removeListener
 209     135 + chrome.idle.setDetectionInterval
 210     133 + chrome.bookmarks.onRemoved.addListener
 211     133 - chrome.management.onUninstalled.addListener
 212     133 + chrome.extension.onConnect
 213     130 + chrome.bookmarks.removeTree
 214     128 - chrome.management.onEnabled.addListener
 215     127 + chrome.webRequest.onHeadersReceived.removeListener
 216     124 + chrome.webRequest.onSendHeaders.addListener
 217     124 + chrome.runtime.onStartup
 218     123 + browser.tabs.sendMessage
 219     123 + chrome.identity.getRedirectURL
 220     122 - chrome.downloads.onDeterminingFilename.addListener
 221     120 + chrome.notifications.getAll
 222     118 + chrome.bookmarks.get
 223     117 + chrome.tabs.hasOwnProperty
 224     117 + chrome.tabs.cr_tabs_TabSelectionChanged_listeners_added
 225     117 + chrome.tabs.cr_tabs_TabClosed_listeners_added
 226     117 + chrome.tabs.cr_tabs_TabCreated_listeners_added
 227     116 - chrome.runtime.getPackageDirectoryEntry
 228     113 + chrome.i18n.getAcceptLanguages
 229     109 + chrome.bookmarks.getSubTree
 230     108 - chrome.management.onDisabled.addListener
 231     106 + chrome.webNavigation.getAllFrames
 232     105 + chrome.commands.getAll
 233     105 + browser.tabs.onUpdated.addListener
 234     104 + chrome.devtools.panels.elements
 235     104 + chrome.history.onVisited.addListener
 236     103 + chrome.downloads.onCreated.addListener
 237     103 - chrome.management.uninstall
 238     102 - chrome.proxy.onProxyError.addListener
 239     101 - chrome.devtools.network.onRequestFinished
 240     100 + chrome.webRequest.handlerBehaviorChanged
 241     100 + chrome.bookmarks.move
 242     100 + chrome.history.deleteUrl
 243     100 + chrome.bookmarks.onChanged.addListener
 244      98 + chrome.webRequest.onCompleted.removeListener
 245      98 + chrome.extension.isAllowedIncognitoAccess
 246      98 + chrome.storage.managed.get
 247      98 + chrome.downloads.cancel
 248      98 - chrome.tabCapture.capture
 249      97 + chrome.runtime.onConnect.removeListener
 250      97 - chrome.extension.onClicked.addListener

Missing APIs
------------
   2338 chrome.desktopCapture.chooseDesktopMedia
    566 chrome.declarativeContent.onPageChanged.removeRules
    564 chrome.declarativeContent.PageStateMatcher
